actor,classify,director,movie_length,movie_name,movie_summary,movie_year,open_dt,rate,rate_num,writer
孔刘 / 郑有美 / 马东锡 / 金秀安 / 金义城 / 崔宇植 / 安昭熙 / 崔奎华 / 郑锡勇 / 艺秀晶 / 朴明申 / 张赫镇 / 禹都临 / 沈恩京,动作/惊悚/灾难,延尚昊,118分钟,釜山行 부산행,"
                                　　证券公司基金管理人石宇（孔侑 饰）光鲜精干，却也是个重利轻义之徒。妻子为此与之决裂，女儿秀安（金秀安 饰）则对如此自私的父亲越来越失望，决定前往釜山和母亲生活。在秀安生日这天，石宇抽出时间陪伴女儿登上开往釜山的特快列车。而与此同时，城市四处出现了极为可疑的暴动事件。政府极力洗白无法掩盖丧尸肆虐的事实，即便懵然无知的列车乘客也因为不速之客的到来而堕入恐慌绝望的地狱中。开车的刹那，一名感染者冲入车厢，而她很快尸变并对目光所及之处的健康人展开血腥屠杀。未过多久，丧尸便呈几何数爆发性地增长。石宇被迫和幸存者的乘客们在逼仄的空间中奋力求生。
                                    
                                　　通往釜山的遥遥旅途布满杀机，危难时刻每个幸存者的人性也承受巨大的考验……
                        ",(2016),"2016-05-13(戛纳电影节),2016-07-20(韩国)",8.5,896036,延尚昊
周星驰 / 吴孟达 / 朱茵 / 蔡少芬 / 蓝洁瑛 / 莫文蔚 / 罗家英 / 刘镇伟 / 陆树铭 / 李健仁,喜剧/爱情/奇幻/古装,刘镇伟,95分钟,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,"
                                　　至尊宝（周星驰 饰）被月光宝盒带回到五百年前，遇见紫霞仙子（朱茵 饰），被对方打上烙印成为对方的人，并发觉自己已变成孙悟空。
                                    
                                　　紫霞与青霞（朱茵 饰）本是如来佛祖座前日月神灯的灯芯（白天是紫霞，晚上是青霞），二人虽然同一肉身却仇恨颇深，因此紫霞立下誓言，谁能拔出她手中的紫青宝剑，谁就是她的意中人。紫青宝剑被至尊宝于不经意间拔出，紫霞决定以身相许，却遭一心记挂白晶晶（莫文蔚 饰）的至尊宝拒绝。后牛魔王救下迷失在沙漠中的紫霞，并逼紫霞与他成婚，关键时刻，至尊宝现身。
                        ",(1995),"1995-02-04(中国香港),2014-10-24(中国大陆),2017-04-13(中国大陆重映)",9.2,1183311,刘镇伟
陈立农 / 李现 / 哈妮克孜 / 裴魁山 / 姜超 / 张晨光 / 李晓川 / 王耀庆 / 郝劭文 / 恬妞,喜剧/奇幻/古装,宋灏霖,125分钟,赤狐书生,"
                                　　清贫书生王子进（陈立农饰）进京赶考，被下凡取丹的小狐妖白十三（李现饰）盯上。只要杀了王子进，取了丹，就能晋升狐仙。但没想取丹路上，一人一狐竟成了最好的朋友。在历尽万险后，白十三该作何选择？
                        ",(2020),2020-12-04(中国大陆),5.2,51898,冉平 / 冉甲男 / 杨薇薇 / 李慧研
徐峥 / 王传君 / 周一围 / 谭卓 / 章宇 / 杨新鸣 / 王佳佳 / 王砚辉 / 贾晨飞 / 龚蓓苾 / 宁浩 / 李乃文 / 岳小军 / 苇青 / 富冠铭 / 巴拉特·巴蒂 / 喜利图 / 张海艳 / 朱耕佑,剧情/喜剧,文牧野,117分钟,我不是药神,"
                                　　普通中年男子程勇（徐峥 饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君 饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收拾地做起了治疗慢粒白血病的印度仿制药独家代理商。赚钱的同时，他也认识了几个病患及家属，为救女儿被迫做舞女的思慧（谭卓 饰）、说一口流利“神父腔”英语的刘牧师（杨新鸣 饰），以及脾气暴烈的“黄毛”（章宇 饰），几个人合伙做起了生意，利润倍增的同时也危机四伏。程勇昔日的小舅子曹警官（周一围 饰）奉命调查仿制药的源头，假药贩子张长林（王砚辉 饰）和瑞士正牌医药代表（李乃文 饰）也对其虎视眈眈，生意逐渐变成了一场关于救赎的拉锯战。
                                    
                                　　本片改编自慢粒白血病患者陆勇代购抗癌药的真实事迹。
                        ",(2018),"2018-07-05(中国大陆),2018-06-30(大规模点映)",9.0,1621187,韩家女 / 钟伟 / 文牧野
廖凡 / 白宇 / 谭卓 / 宁理 / 黄尧 / 赵阳 / 田小洁 / 王建国 / 吕晓霖 / 赵圆瑗 / 曹卫宇 / 陆思宇 / 牛超 / 何其炜 / 张垒 / 赵雷棋 / 陈维涵,剧情/悬疑/犯罪,陈奕甫,,沉默的真相,"
                                　　一起看似简单的自杀案, 背后隐藏着一个不可告人的巨大秘密; 为了揭开这个秘密, 一群人历经七载, 付出无数代价, 甚至赌上性命……一个曾有大好前途，四平八稳的检察官江阳，但因受贿贪污，坐牢三年，再次出现在公众视野里竟是他出现在行李箱里的蜷缩的尸体；运送他尸体的当地著名律师张超。此案引发全市关注，刑警严良介入负责此案，与张超正面交锋。张超承认犯罪，却在接受法院宣判时当场翻供，并拿出不在场证据，案件陷入死局。
                        ",(2020),2020-09-16(中国大陆),9.2,524737,刘国庆 / 紫金陈
彭昱畅 / 张婧仪 / 梁靖康 / 周依然 / 张宥浩 / 郭丞 / 周游 / 黄觉 / 曹卫宇 / 梁静 / 刘仪伟 / 宁浩 / 张一白 / 汪启楠 / 周楚濋 / 涂凌 / 果靖霖 / 熊睿玲 / 徐梓钧 / 吴骦伊 / 冯一杰 / 苏子珊,喜剧,张一白,,风犬少年的天空,"
                                　　千禧年间，故事发生在一所位于重庆市中心的高中。在清新单纯的校园里与周遭林立的高楼下，两种截然不同的青春气息交汇于此，他们从相互对立到彼此融合，一起经历又燃又二又暖的少年故事。这里既有少年面对成人世界的第一声呐喊，也是互相扶持共同成长的温暖旅途。在这一路上几位出身不同、性格各异的少年们，将直面纯真校园与社会现实的冲突，在亲情、友情、懵懂恋情的交织中向阳奔跑，酷得像风野得像狗，从而找到一片属于自己的天空。
                        ",(2020),2020-09-24(中国大陆),8.2,103051,里则林
吕艳婷 / 囧森瑟夫 / 瀚墨 / 陈浩 / 绿绮 / 张珈铭 / 杨卫,剧情/喜剧/动画/奇幻,饺子,110分钟,哪吒之魔童降世,"
                                　　天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？
                        ",(2019),"2019-07-26(中国大陆),2019-07-13(大规模点映)",8.5,1543369,饺子 / 易巧 / 魏芸芸
周冬雨 / 易烊千玺 / 尹昉 / 周也 / 吴越 / 黄觉 / 张艺凡 / 张耀 / 张歆怡 / 赵润南 / 郜玄铭 / 谢欣桐 / 刘然 / 何廖侣匀 / 胖虎 / 罗俊林,剧情/爱情/犯罪,曾国祥,135分钟,少年的你,"
                                　　陈念（周冬雨 饰）是一名即将参加高考的高三学生，同校女生胡晓蝶（张艺凡 饰）的跳楼自杀让她的生活陷入了困顿之中。胡晓蝶死后，陈念遭到了以魏莱（周也 饰）为首的三人组的霸凌，魏莱虽然表面上看来是乖巧的优等生，实际上却心思毒辣，胡晓蝶的死和她有着千丝万缕的联系。
                                    
                                　　一次偶然中，陈念邂逅了名为小北（易烊千玺 饰）的小混混，随着时间的推移，心心相惜的两人之间产生了真挚的感情。小北答应陈念在暗中保护她免受魏莱的欺凌，没想到这一决定引发了一连串的连锁反应。负责调查胡晓蝶死因的警官郑易（尹昉 饰）隐隐察觉到校园里的古怪气氛，可他的调查却屡屡遭到校方的阻挠。
                        ",(2019),2019-10-25(中国大陆),8.3,1199857,林咏琛 / 李媛 / 许伊萌
让·雷诺 / 娜塔莉·波特曼 / 加里·奥德曼 / 丹尼·爱罗 / 彼得·阿佩尔 / 迈克尔·巴达鲁科 / 艾伦·格里尼 / 伊丽莎白·瑞根 / 卡尔·马图斯维奇 / 弗兰克·赛格 / 麦温 / 乔治·马丁 / 罗伯特·拉萨多 / 亚当·布斯奇 / 马里奥·托迪斯科 / 萨米·纳塞利,剧情/动作/犯罪,吕克·贝松,110分钟(剧场版),这个杀手不太冷 Léon,"
                                　　里昂（让·雷诺饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达（纳塔丽·波特曼饰)敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼饰）杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。
                                    
                                　　女孩想着去报仇，反倒被抓，里昂及时赶到，将女孩救回。混杂着哀怨情仇的正邪之战渐次升级，更大的冲突在所难免……
                        ",(1994),1994-09-14(法国),9.4,1853120,吕克·贝松
章宇 / 宋佳 / 王砚辉 / 李鸿其 / 邓恩熙 / 周政杰 / 陈瑾 / 张建亚 / 叶青 / 高宇航 / 赵龙豪 / 丁冠中 / 林津锋,剧情/爱情/犯罪,李霄峰,119分钟,风平浪静,"
                                　　十五年前的一次意外，成绩优异高中生宋浩离开了家乡，也离开了原本的人生轨迹。
                                    
                                　　十五年后，他回到家乡，一切仿佛都已风平浪静。与老同学潘晓霜的重逢，给了他人生久违的光亮。他决定揭开那个十五年来不敢触碰的伤疤，重新掌控人生，完成一场似乎不可能的自我救赎。
                        ",(2020),"2020-11-06(中国大陆),2020-07-29(上海电影节)",6.3,82875,余欣
李易峰 / 金晨 / 王泷正 / 牛骏峰 / 施诗 / 王小毅 / 李强 / 刘伟 / 刘洁 / 周知 / 杨皓宇 / 罗京民 / 方舟波 / 宋家腾 / 葛四 / 任洛敏 / 韩烨洲 / 赵成顺 / 张浩天 / 张兰 / 赵蕴卓,剧情,王伟,,隐秘而伟大,"
                                　　抗战胜利，在上海弄堂长大的法学院高材生顾耀东（李易峰饰）大学毕业后，怀揣着“匡扶正义，保护百姓”的理想，如愿以偿地成为了一名警察。然而，初入职场的顾耀东不仅遭遇了警局同僚的排挤打压，还被卷入进了共产党地下情报网和国民党警察的激烈斗争中。乱世乱局之下，顾耀东亦不得不在正义与非正义的对峙中做出忠于自己信仰的选择。最终，在以夏继成（王泷正饰）与沈青禾（金晨饰）为中坚力量的中共上海地下党警委的帮助和培养下，在革命的征程中成全自己的理想的同时也收获了宝贵的爱情。
                        ",(2020),2020-11-06(中国大陆),8.2,127980,蒲维 / 黄琛
花江夏树 / 细谷佳正 / 三森铃子 / 田村睦心 / 吉田仁美 / 池田纯矢 / 榎木淳弥 / 市道真央 / 坂本千夏 / 山口真弓 / 重松花鸟 / 山田木野子 / 竹内顺子 / 樱井孝宏 / 松本美和 / 德光由禾 / 松冈茉优 / 小野大辅,动画/冒险,田口智久,94分钟,数码宝贝：最后的进化 デジモンアドベンチャー LAST EVOLUTION 絆,"
                                　　2010年，曾经的小学生们已经步入大学，太一、阿和等人步上不同的人生道路（八神太一和石田大和将会成长为22岁），而就在此时，数码宝贝的研究者メノア(松冈茉优 配音)却告诉他们：“被选召的孩子们”长大成人后，数码宝贝也将随之消失…。预告中字幕表明这是“太一他们最后的故事” ，结尾则注明：献给所有和数码宝贝一起成长的“孩子”们，还有亚古兽注视着长大成人的太一的背影，“太一，你长大了呢”。
                        ",(2020),"2020-10-30(中国大陆),2020-02-21(日本)",7.5,66895,大和屋晓
朴信惠 / 全钟瑞 / 金成铃 / 李艾 / 李东辉 / 朴浩山 / 吴政世,剧情/悬疑/惊悚,李聪贤,112分钟,电话 콜,"
                                　　一通电话让来自过去和现在的两个女人产生了奇妙的联系，并引发了一场改变未来的危险游戏...她们将渐渐难以自拔。
                        ",(2020),2020-11-27(韩国网络),7.6,64813,李聪贤
葛优 / 黄渤 / 范伟 / 邓超 / 沈腾 / 张占义 / 王宝强 / 徐峥 / 闫妮 / 马丽 / 刘敏涛 / 刘昊然 / 卢靖姗 / 王子文 / 魏翔 / 章宇 / 王砚辉 / 张译 / 王源 / 张一鸣 / 杨新鸣 / 王迅 / 于和伟 / 苗阜 / 辣目洋子 / 张子贤 / 董子健 / 陶虹 / 吴京 / 韩彦博 / 吕行 / 佟丽娅 / 李晨 / 孙俪 / 赵铁人 / 郝云 / 彭昱畅 / 杨紫 / 岳云鹏 / 赵海燕 / 岳小军 / 王俊凯 / 贾玲 / 潘斌龙 / 高睿菲儿 / 陈数 / 代乐乐 / 黄才伦 / 雷佳音 / 梁超 / 孙贵权 / 韩昊霖 / 岳红 / 陶亮 / 李易峰 / 许猛 / 郭帆 / 卫莱 / 栗坤 / 薇娅 / 李佳琦,剧情/喜剧,宁浩,153分钟,我和我的家乡,"
                                　　电影《我和我的家乡》定档2020年国庆，延续《我和我的祖国》集体创作的方式，由张艺谋担当总监制，宁浩担任总导演，张一白担任总策划，宁浩、徐峥、陈思诚、闫非&彭大魔、邓超&俞白眉分别执导五个故事。
                        ",(2020),2020-10-01(中国大陆),7.4,354210,葛优 / 黄渤 / 范伟 / 邓超 / 沈腾 / 张占义 / 王宝强 / 徐峥 / 闫妮 / 马丽 / 刘敏涛 / 刘昊然 / 卢靖姗 / 王子文 / 魏翔 / 章宇 / 王砚辉 / 张译 / 王源 / 张一鸣 / 杨新鸣 / 王迅 / 于和伟 / 苗阜 / 辣目洋子 / 张子贤 / 董子健 / 陶虹 / 吴京 / 韩彦博 / 吕行 / 佟丽娅 / 李晨 / 孙俪 / 赵铁人 / 郝云 / 彭昱畅 / 杨紫 / 岳云鹏 / 赵海燕 / 岳小军 / 王俊凯 / 贾玲 / 潘斌龙 / 高睿菲儿 / 陈数 / 代乐乐 / 黄才伦 / 雷佳音 / 梁超 / 孙贵权 / 韩昊霖 / 岳红 / 陶亮 / 李易峰 / 许猛 / 郭帆 / 卫莱 / 栗坤 / 薇娅 / 李佳琦
张译 / 吴京 / 李九霄 / 魏晨 / 邓超 / 欧豪 / 邱天 / 周思羽 / 刘显达 / 石昊正,剧情/战争,管虎,122分钟,金刚川,"
                                　　1953年，抗美援朝战争进入最终阶段，志愿军在金城发动最后一场大型战役。为在指定时间到达，向 金城前线投放更多战力，志愿军战士们在物资匮乏、武装悬殊的情况下，不断抵御敌机狂轰滥炸，以血肉 之躯一次次修补战火中的木桥。一段鲜为人知的历史，在暗流涌动的金刚川上徐徐展开......
                        ",(2020),2020-10-23(中国大陆),6.5,191575,管虎
约翰·大卫·华盛顿 / 罗伯特·帕丁森 / 伊丽莎白·德比茨基 / 肯尼思·布拉纳 / 亚伦·泰勒-约翰逊 / 迪宝·卡帕蒂娅 / 克蕾曼丝·波西 / 希米什·帕特尔 / 安德鲁·霍华德 / 尤里·科洛科利尼科夫 / 迈克尔·凯恩 / 马丁·唐文 / 卡里娜·韦尔瓦 / 乔纳森·坎普 / 凯蒂·麦克凯布 / 贝恩·科拉科 / 安东尼·莫利纳利 / 特伦特·布克斯顿 / 英格丽·玛格斯 / 瑞奇·切劳洛 / 劳里·谢泼德 / 马克·克雷尼克 / 亚历克斯·威克索 / 丹兹尔·史密斯 / 马塞尔·萨巴特,剧情/动作/科幻,克里斯托弗·诺兰,150分钟,信条 Tenet,"
                                　　世界存亡危在旦夕，“信条”一词是唯一的线索与武器。主人公穿梭于全球各地，开展特工活动，力求揭示“信条”之谜，并完成一项超越了真实时间的神秘任务。这项任务并非时间之旅，而是【时空逆转】。
                        ",(2020),"2020-09-04(中国大陆),2020-08-26(英国),2020-09-03(美国)",7.7,446975,克里斯托弗·诺兰
林更新 / 盖玥希 / 杜淳 / 秦海璐 / 李坤霖 / 林澄 / 冯文娟,爱情/悬疑,曹译文,,最初的相遇，最后的别离,"
                                　　前缉毒警严谨在卧底贩毒集团调查陈年疑案时，与“似水流年”咖啡店老板季晓鸥相爱。一桩离奇的杀人案却将两人的爱情拖入深渊。真相迷雾重重，而严谨仿佛坠入无尽的黑暗，他和季晓鸥的爱情又将何去何从……
                        ",(2020),2020-11-19(中国大陆),4.8,42621,周元姣
郑希 / 杨凝 / 图特哈蒙 / 阎么么 / 季冠霖 / 姜广涛,剧情/动画/奇幻,程腾,110分钟,姜子牙,"
                                　　故事发生于封神大战后。姜子牙率领众神伐纣，赢得封神大战胜利，以为可以唤回世间安宁。然而，一切并未结束。一个偶然，姜子牙发现了原来“封神大战”之下酝酿着更大的阴谋。姜子牙开始踏上探寻真相的旅途......
                        ",(2020),2020-10-01(中国大陆),6.8,445478,谢茜颖
安雅·泰勒-乔伊 / 伊斯拉·约翰斯顿 / 玛丽埃尔·海勒 / 托马斯·布罗迪-桑斯特 / 马辛·多洛辛斯基 / 雅各布·福琼·劳埃德 / 比尔·坎普 / 马修·丹尼斯·刘易斯 / 罗素·丹尼斯·刘易斯 / 克洛伊·皮里 / 摩西·英格拉姆 / 哈利·米尔林 / 多洛雷斯·卡波里 / 贾妮娜·埃尔金 / 帕特里克·肯尼迪 / 克里丝蒂安·赛德尔 / 阿克姆吉·恩迪福尼恩 / 塞尔吉奥·齐奥 / 丽贝卡·鲁特 / 弗雷德里克·斯特罗门格 / 索菲 麦希拉 / 威廉·霍尔伯格 / 埃洛伊塞·韦伯 / 约翰·施瓦布 / 朱丽·帕德尔,剧情,斯科特·弗兰克,,后翼弃兵 The Queen's Gambit,"
                                　　根据沃尔特·特维斯的小说改编，这个成长故事探索了天才背后真正的代价。20 世纪 50 年代末，年幼的贝丝·哈蒙（安雅·泰勒-乔伊饰）被遗弃并托付给肯塔基州的一家孤儿院。她具有惊人的国际象棋天赋，同时对政府提供给孩童的镇静剂上瘾。贝丝被自己心中的恶魔所困扰，在药物和痴迷的双重作用下，她变成了一个令人印象深刻、技艺高超且富有魅力的弃儿，并决心打破男性主导的国际象棋界建立的传统界限。
                        ",(2020),2020-10-23(美国),9.0,205875,艾伦·斯科特 / 斯科特·弗兰克 / 沃尔特·特维斯
张译 / 刘浩存 / 范伟 / 余皑磊 / 张邵勃  / 李延 / 于洋 / 刘云龙 / 常海军,剧情,张艺谋,104分钟,一秒钟,"
                                　　影片讲述了没赶上电影场次的张九声与刘闺女因一场电影结下了不解之缘的故事。故事灵感来源于张艺谋导演早期经历，是其一贯对文化展开追忆和寻根的风格。
                        ",(2020),2020-11-27(中国大陆),7.8,119407,张艺谋 / 邹静之
